Statistical profiling result from isolate-0x140008000-75619-v8.log, (20595 ticks, 18236 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    703    3.4%          /Users/pliffdax/.nvm/versions/node/v22.16.0/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
    152    0.7%    0.8%  Builtin: LoadIC
     70    0.3%    0.4%  Builtin: KeyedLoadIC_Megamorphic
     57    0.3%    0.3%  Builtin: LoadIC_Megamorphic
     42    0.2%    0.2%  Builtin: KeyedStoreIC_Megamorphic
     34    0.2%    0.2%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
     31    0.2%    0.2%  Builtin: GetProperty
     22    0.1%    0.1%  Builtin: StringAdd_CheckNone
     22    0.1%    0.1%  Builtin: RecordWriteSaveFP
     21    0.1%    0.1%  Builtin: StoreIC
     21    0.1%    0.1%  Builtin: KeyedStoreIC
     17    0.1%    0.1%  JS: *next /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/router@2.2.0/node_modules/router/index.js:188:17
     17    0.1%    0.1%  Builtin: KeyedLoadIC_PolymorphicName
     16    0.1%    0.1%  Builtin: KeyedLoadIC
     16    0.1%    0.1%  Builtin: BaselineLeaveFrame
     14    0.1%    0.1%  Builtin: LoadICBaseline
     14    0.1%    0.1%  Builtin: Call_ReceiverIsNullOrUndefined_Baseline_Compact
     13    0.1%    0.1%  JS: *processTicksAndRejections node:internal/process/task_queues:72:35
     13    0.1%    0.1%  Builtin: StoreIC_Megamorphic
     12    0.1%    0.1%  Builtin: RunMicrotasks
     12    0.1%    0.1%  Builtin: CallFunction_ReceiverIsAny
     11    0.1%    0.1%  JS: *request /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:121:3318
     11    0.1%    0.1%  Builtin: ResumeGeneratorTrampoline
     11    0.1%    0.1%  Builtin: LoadICTrampoline_Megamorphic
     11    0.1%    0.1%  Builtin: BaselineOutOfLinePrologue
      9    0.0%    0.0%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+\/[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      9    0.0%    0.0%  JS: *parserOnIncoming node:_http_server:1040:26
      9    0.0%    0.0%  Builtin: StrictEqual_Baseline
      9    0.0%    0.0%  Builtin: KeyedLoadICTrampoline_Megamorphic
      9    0.0%    0.0%  Builtin: ArrayPrototypePush
      8    0.0%    0.0%  JS: *<anonymous> /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@nestjs+core@11.1.9_@nestjs+common@11.1.9_class-validator@0.14.3_reflect-metadata@0.2.2_9800875a8e639f88bb9559e3cb8ac2de/node_modules/@nestjs/core/router/router-proxy.js:7:16
      8    0.0%    0.0%  Builtin: MapConstructor
      8    0.0%    0.0%  Builtin: Call_ReceiverIsNotNullOrUndefined_Baseline_Compact
      8    0.0%    0.0%  Builtin: Call_ReceiverIsNotNullOrUndefined
      8    0.0%    0.0%  Builtin: CallFunction_ReceiverIsNullOrUndefined
      8    0.0%    0.0%  Builtin: CEntry_Return1_ArgvOnStack_NoBuiltinExit
      7    0.0%    0.0%  JS: *trimPrefix /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/router@2.2.0/node_modules/router/index.js:304:23
      7    0.0%    0.0%  JS: *processPromiseRejections node:internal/process/promises:439:34
      7    0.0%    0.0%  JS: *_storeHeader node:_http_outgoing:454:22
      7    0.0%    0.0%  Builtin: SetDataProperties
      7    0.0%    0.0%  Builtin: CloneObjectIC
      6    0.0%    0.0%  JS: *setStreamTimeout node:internal/stream_base_commons:236:26
      6    0.0%    0.0%  JS: *send /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/express@5.1.0/node_modules/express/lib/response.js:123:25
      6    0.0%    0.0%  JS: *nextTick node:internal/process/task_queues:113:18
      6    0.0%    0.0%  JS: *applyHeaders /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/cors@2.8.5/node_modules/cors/lib/index.js:144:24
      6    0.0%    0.0%  JS: *_executeRequest /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:130:9961
      6    0.0%    0.0%  JS: *<anonymous> /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:112:907
      6    0.0%    0.0%  Builtin: LoadIC_NoFeedback
      6    0.0%    0.0%  Builtin: JSEntry
      6    0.0%    0.0%  Builtin: FindOrderedHashSetEntry
      6    0.0%    0.0%  Builtin: DefineNamedOwnIC
      6    0.0%    0.0%  Builtin: BitwiseAnd_Baseline
      6    0.0%    0.0%  Builtin: ArrayIncludesSmiOrObject
      5    0.0%    0.0%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      5    0.0%    0.0%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      5    0.0%    0.0%  RegExp: ^(?:\/swagger-json)(?:\/$)?$
      5    0.0%    0.0%  RegExp: ; *([!#$%&'*+.^_`|~0-9A-Za-z-]+) *= *("(?:[\u000b\u0020\u0021\u0023-\u005b\u005d-\u007e\u0080-\u00ff]|\\[\u000b\u0020-\u00ff])*"|[!#$%&'*+.^_`|~0-9A-Za-z-]+) *
      5    0.0%    0.0%  JS: *resOnFinish node:_http_server:980:21
      5    0.0%    0.0%  JS: *r /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:3:6349
      5    0.0%    0.0%  JS: *parserOnHeadersComplete node:_http_common:71:33
      5    0.0%    0.0%  JS: *onwrite node:internal/streams/writable:615:17
      5    0.0%    0.0%  JS: *isstats /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/etag@1.8.1/node_modules/etag/index.js:104:18
      5    0.0%    0.0%  JS: *handle /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/express@5.1.0/node_modules/express/lib/application.js:152:29
      5    0.0%    0.0%  JS: *end node:_http_outgoing:1084:45
      5    0.0%    0.0%  JS: *Readable.removeListener node:internal/streams/readable:1159:45
      5    0.0%    0.0%  Builtin: JSConstructStubGeneric
      5    0.0%    0.0%  Builtin: FindOrderedHashMapEntry
      5    0.0%    0.0%  Builtin: CopyDataPropertiesWithExcludedPropertiesOnStack
      5    0.0%    0.0%  Builtin: BitwiseOr_Baseline
      5    0.0%    0.0%  Builtin: AsyncFunctionEnter
      4    0.0%    0.0%  RegExp: ^\s*([^;\s]*)(?:;|\s|$)
      4    0.0%    0.0%  RegExp: ^(?:\/auth\/login)(?:\/$)?$
      4    0.0%    0.0%  JS: *singleLoader /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:121:5631
      4    0.0%    0.0%  JS: *reply /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@nestjs+platform-express@11.1.9_@nestjs+common@11.1.9_class-validator@0.14.3_reflect-me_03207ebf30d973e3fd35b79535ee468c/node_modules/@nestjs/platform-express/adapters/express-adapter.js:44:10
      4    0.0%    0.0%  JS: *log node:internal/console/constructor:380:6
      4    0.0%    0.0%  JS: *handle /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/router@2.2.0/node_modules/router/index.js:434:19
      4    0.0%    0.0%  JS: *get node:internal/streams/readable:1542:8
      4    0.0%    0.0%  JS: *get node:internal/streams/duplex:161:8
      4    0.0%    0.0%  JS: *get node:_http_incoming:109:16
      4    0.0%    0.0%  JS: *get /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/debug@4.4.3/node_modules/debug/src/common.js:125:9
      4    0.0%    0.0%  JS: *get /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:29:16385
      4    0.0%    0.0%  JS: *get /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:121:2365
      4    0.0%    0.0%  JS: *Readable.on node:internal/streams/readable:1127:33
      4    0.0%    0.0%  JS: *IncomingMessage node:_http_incoming:50:25
      4    0.0%    0.0%  JS: *<anonymous> node:internal/validators:161:40
      4    0.0%    0.0%  Builtin: StoreICBaseline
      4    0.0%    0.0%  Builtin: LoadICTrampoline
      4    0.0%    0.0%  Builtin: LoadGlobalIC
      4    0.0%    0.0%  Builtin: KeyedLoadICBaseline
      4    0.0%    0.0%  Builtin: ForInFilter
      4    0.0%    0.0%  Builtin: FastNewObject
      4    0.0%    0.0%  Builtin: FastNewClosure
      4    0.0%    0.0%  Builtin: CompileLazy
      4    0.0%    0.0%  Builtin: Call_ReceiverIsAny
      4    0.0%    0.0%  Builtin: CallFunctionTemplate_Generic
      4    0.0%    0.0%  Builtin: AdaptorWithBuiltinExitFrame
      3    0.0%    0.0%  RegExp: ^[!#$%&'*+\-.^_`|~0-9A-Za-z]+$
      3    0.0%    0.0%  RegExp: ^(?:\/swagger\/swagger\/swagger-ui-init\.js)(?:\/$)?$
      3    0.0%    0.0%  RegExp: ^(?:\/swagger\/LICENSE)(?:\/$)?$
      3    0.0%    0.0%  RegExp: [^\t\x20-\x7e\x80-\xff]
      3    0.0%    0.0%  JS: ^urlencodedParser /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/body-parser@2.2.1/node_modules/body-parser/lib/types/urlencoded.js:57:36
      3    0.0%    0.0%  JS: ^sa /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:29:7515
      3    0.0%    0.0%  JS: ^next /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/router@2.2.0/node_modules/router/index.js:188:17
